id,date,merchant,description,amount,category,subcategory,source_card,receipt_status,receipt_email_id,receipt_email_subject,receipt_file,email_search_query,submission_status,priority,business_purpose,notes
BF-20250128-001,2025-01-28,DoorDash,DoorDash - Delivery,35.10,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH TABLAFORM 855-431-0459 CA
BF-20250128-004,2025-01-28,Apple,Apple - Hardware,31.79,Equipment,Hardware,Amex,email_available,,,,from:no_reply@email.apple.com subject:receipt,pending,medium,Business hardware,Backfill: AplPay APPLE ONLINE CUPERTINO           CA
BF-20250129-001,2025-01-29,Impasto,Impasto - Restaurant,45.29,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*IMPASTO San Carlos CA
BF-20250129-002,2025-01-29,Uber,Uber - Rideshare,12.40,Travel,Rideshare,Amex,email_available,,,,from:noreply@uber.com subject:trip,pending,medium,Business rideshare,Backfill: UBER
BF-20250130-001,2025-01-30,DoorDash,DoorDash - Delivery,78.89,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH HUMMUSMED 855-431-0459 CA
RCPT-20250130-001,2025-01-30,Vanta,Vanta SOC2/HIPAA/GDPR compliance Q1 2025,3500.00,Software,Compliance,Amex,found,194b87d9fdc26529,Your receipt from Vanta Inc #2884-4142,,from:vanta invoice,pending,critical,SOC2/HIPAA/GDPR compliance platform,Q1 2025 (Jan-Apr)
BF-20250201-001,2025-02-01,DoorDash,DoorDash - Delivery,30.36,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH CUBANKITC 855-431-0459 CA
BF-20250201-002,2025-02-01,Delta Air Lines,Delta Air Lines - Airlines,25.00,Travel,Airlines,Amex,found,194befc80754d923,,,from:DeltaAirLines@t.delta.com subject:receipt,pending,medium,Business airlines,Backfill: DELTA AIR LINES
BF-20250202-002,2025-02-02,Amazon,Amazon - Supplies,505.94,Equipment,Supplies,Amex,email_available,,,,from:auto-confirm@amazon.com,pending,high,Business supplies,Backfill: Amazon Web Services AWS.Amazon.com      WA
BF-20250202-001,2025-02-02,DoorDash,DoorDash - Delivery,24.16,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH XIANFAMOU 855-431-0459 CA
BF-20250202-003,2025-02-02,Amazon,Amazon - Supplies,2.36,Equipment,Supplies,Amex,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: Amazon Web Services AWS.Amazon.com      WA
BF-20250203-002,2025-02-03,Amazon,Amazon - Supplies,83.28,Equipment,Supplies,Chase,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: AMAZON MKTPL*ZO5978E93 Amzn.com/bill WA
BF-20250203-001,2025-02-03,DoorDash,DoorDash - Delivery,41.00,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH SOMTUMDER 855-431-0459 CA
BF-20250205-001,2025-02-05,DoorDash,DoorDash - Delivery,20.04,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH EMPANADAM 855-431-0459 CA
BF-20250207-003,2025-02-07,DoorDash,DoorDash - Delivery,25.76,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH SOOTHRTHA 855-431-0459 CA
BF-20250207-001,2025-02-07,Amazon,Amazon - Supplies,24.24,Equipment,Supplies,Chase,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: AMAZON MKTPL*Q55ZW5QR3 Amzn.com/bill WA
BF-20250207-002,2025-02-07,Amazon,Amazon - Supplies,21.76,Equipment,Supplies,Chase,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: AMAZON MKTPL*Z78594HC1 Amzn.com/bill WA
BF-20250208-002,2025-02-08,Amazon,Amazon - Supplies,52.24,Equipment,Supplies,Chase,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: AMAZON MKTPL*7Y8SR1U43 Amzn.com/bill WA
BF-20250208-001,2025-02-08,DoorDash,DoorDash - Delivery,33.49,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH XIANFAMOU 855-431-0459 CA
BF-20250209-002,2025-02-09,Lyft,Lyft - Rideshare,20.30,Travel,Rideshare,Amex,email_available,,,,from:no-reply@lyftmail.com,pending,medium,Business rideshare,Backfill: AplPay LYFT         855-280-0278        CA
BF-20250210-001,2025-02-10,Cafe,Cafe - Restaurant,39.80,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST* CAFE MOGADOR WILLIAM BROOKLYN NY
BF-20250211-002,2025-02-11,DoorDash,DoorDash - Delivery,73.15,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH MYDUMPLIN 855-431-0459 CA
BF-20250211-001,2025-02-11,Amazon,Amazon - Supplies,45.00,Equipment,Supplies,Chase,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: Amazon.com*7E49C4QR3 Amzn.com/bill WA
BF-20250212-001,2025-02-12,Amazon,Amazon - Supplies,144.70,Equipment,Supplies,Chase,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: AMAZON MKTPL*HV7C39QQ3 Amzn.com/bill WA
BF-20250215-001,2025-02-15,Saucy,Saucy - Restaurant,38.85,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: SQ *SAUCY LUKES BARBECUE Buckeye AZ
BF-20250216-002,2025-02-16,Lyft,Lyft - Rideshare,46.55,Travel,Rideshare,Amex,email_available,,,,from:no-reply@lyftmail.com,pending,medium,Business rideshare,Backfill: AplPay LYFT         855-280-0278        CA
BF-20250216-001,2025-02-16,DoorDash,DoorDash - Delivery,27.32,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH DASHMART 855-431-0459 CA
BF-20250218-001,2025-02-18,DoorDash,DoorDash - Delivery,37.24,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH XIANFAMOU 855-431-0459 CA
BF-20250219-002,2025-02-19,DoorDash,DoorDash - Delivery,41.11,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH DASHMART 855-431-0459 CA
BF-20250219-001,2025-02-19,Dig,Dig - Restaurant,30.81,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST* DIG INN SEASONAL MAR NEW YORK NY
BF-20250220-001,2025-02-20,DoorDash,DoorDash - Delivery,25.76,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH SOOTHRTHA 855-431-0459 CA
BF-20250220-002,2025-02-20,Amc,Amc - Other,24.95,Meals,Other,Amex,pending,,,,,pending,medium,Business other,Backfill: AMC 9640 ONLINE*9640LEAWOOD             KS
BF-20250221-001,2025-02-21,DoorDash,DoorDash - Delivery,28.37,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH XIANFAMOU 855-431-0459 CA
BF-20250222-001,2025-02-22,Dos,Dos - Restaurant,20.88,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST* DOS TOROS - CARMINE NEW YORK NY
BF-20250224-001,2025-02-24,Aplpay,Aplpay - Other,20.00,Meals,Other,Amex,pending,,,,,pending,medium,Business other,Backfill: AplPay CLIPPER SYSTECONCORD             CA
BF-20250226-001,2025-02-26,DoorDash,DoorDash - Delivery,99.08,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH HUNANMIFE 855-431-0459 CA
BF-20250226-002,2025-02-26,Blind,Blind - Restaurant,53.75,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST* BLIND TASTING BEER & SAN CARLOS CA
BF-20250227-002,2025-02-27,DoorDash,DoorDash - Delivery,61.31,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH ELSINALOE 855-431-0459 CA
BF-20250227-001,2025-02-27,DoorDash,DoorDash - Delivery,55.44,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH MYUNGDONG 855-431-0459 CA
BF-20250228-001,2025-02-28,DoorDash,DoorDash - Delivery,61.61,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH RISEWOODF 855-431-0459 CA
BF-20250302-003,2025-03-02,Amazon,Amazon - Supplies,404.76,Equipment,Supplies,Amex,email_available,,,,from:auto-confirm@amazon.com,pending,high,Business supplies,Backfill: Amazon Web Services AWS.Amazon.com      WA
BF-20250302-001,2025-03-02,DoorDash,DoorDash - Delivery,27.07,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH SIMPIZZA- 855-431-0459 CA
BF-20250302-002,2025-03-02,DoorDash,DoorDash - Delivery,25.17,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH WEGMANS 855-431-0459 CA
BF-20250302-004,2025-03-02,Amazon,Amazon - Supplies,0.03,Equipment,Supplies,Amex,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: Amazon Web Services AWS.Amazon.com      WA
BF-20250303-002,2025-03-03,DoorDash,DoorDash - Delivery,25.76,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH SOOTHRTHA 855-431-0459 CA
BF-20250303-001,2025-03-03,DoorDash,DoorDash - Delivery,23.07,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH DUANEREAD 855-431-0459 CA
BF-20250304-001,2025-03-04,Amazon,Amazon - Supplies,30.47,Equipment,Supplies,Chase,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: Amazon.com*BA5AF5453 Amzn.com/bill WA
BF-20250304-002,2025-03-04,Amazon,Amazon - Supplies,27.27,Equipment,Supplies,Chase,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: AMAZON MKTPL*F93ZG1753 Amzn.com/bill WA
BF-20250304-003,2025-03-04,Apple,Apple - Hardware,14.38,Equipment,Hardware,Amex,email_available,,,,from:no_reply@email.apple.com subject:receipt,pending,medium,Business hardware,Backfill: APPLE.COM/BILL      INTERNET CHARGE     CA
BF-20250306-001,2025-03-06,DoorDash,DoorDash - Delivery,71.68,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH CUBANKITC 855-431-0459 CA
BF-20250309-001,2025-03-09,Rosecrans,Rosecrans - Restaurant,50.08,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: SQ *ROSECRANS New York NY
BF-20250309-004,2025-03-09,Spot,Spot - Restaurant,35.89,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*SPOT DESSERT BAR - L Long Island C NY
BF-20250309-002,2025-03-09,Stumptown,Stumptown - Restaurant,27.90,Meals,Restaurant,Chase,email_available,,,,from:messenger@messaging.squareup.com stumptown,pending,medium,Business restaurant,Backfill: SQ *STUMPTOWN COFFEE ROAS New York NY
BF-20250309-003,2025-03-09,Le,Le - Restaurant,23.36,Meals,Restaurant,Chase,email_available,,,,from:no_reply@email.apple.com subject:receipt,pending,medium,Business restaurant,Backfill: TST*LE VILLAGE 4F New York NY
BF-20250310-001,2025-03-10,Google,Google - Other,21.76,Meals,Other,Chase,pending,,,,,pending,medium,Business other,Backfill: GOOGLE *Google One g.co/helppay# CA
BF-20250312-001,2025-03-12,Dos,Dos - Restaurant,35.50,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST* DOS TOROS - CARMINE NEW YORK NY
BF-20250313-001,2025-03-13,DoorDash,DoorDash - Delivery,27.82,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH XIANFAMOU 855-431-0459 CA
BF-20250314-001,2025-03-14,Amazon,Amazon - Supplies,26.50,Equipment,Supplies,Chase,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: AMAZON MKTPL*UQ59L4GD3 Amzn.com/bill WA
RCPT-20250314-WF,2025-03-14,Wellfound,Recruit Pro subscription Mar 2025,149.00,Software,Recruiting,Amex,found,195968d9fa592e23,Your receipt from Wellfound #2325-4066,,from:wellfound invoice,pending,high,Recruiting platform subscription,Monthly subscription
BF-20250315-001,2025-03-15,Sm?R,Sm?R - Restaurant,55.25,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: SQ *SM?R New York NY
BF-20250315-003,2025-03-15,DoorDash,DoorDash - Delivery,50.11,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH SAMWOOJUN 855-431-0459 CA
BF-20250315-002,2025-03-15,DoorDash,DoorDash - Delivery,25.76,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH SOOTHRTHA 855-431-0459 CA
BF-20250316-001,2025-03-16,DoorDash,DoorDash - Delivery,31.20,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH SIMPIZZA- 855-431-0459 CA
BF-20250317-002,2025-03-17,DoorDash,DoorDash - Delivery,87.78,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH WALGREENS 855-431-0459 CA
BF-20250317-003,2025-03-17,DoorDash,DoorDash - Delivery,53.23,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH SAMWOOJUN 855-431-0459 CA
BF-20250317-004,2025-03-17,Employees,Employees - Restaurant,47.35,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: SQ *EMPLOYEES ONLY LLC New York NY
BF-20250317-001,2025-03-17,DoorDash,DoorDash - Delivery,22.64,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH THEHALALG 855-431-0459 CA
BF-20250319-002,2025-03-19,DoorDash,DoorDash - Delivery,25.76,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH SOOTHRTHA 855-431-0459 CA
BF-20250319-001,2025-03-19,Dante,Dante - Restaurant,24.93,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*DANTE - HUDSON ST New York NY
BF-20250320-002,2025-03-20,DoorDash,DoorDash - Delivery,39.26,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH DHHANDPUL 855-431-0459 CA
BF-20250320-003,2025-03-20,Amc,Amc - Other,24.95,Meals,Other,Amex,pending,,,,,pending,medium,Business other,Backfill: AMC 9640 ONLINE*9640LEAWOOD             KS
BF-20250320-001,2025-03-20,Dos,Dos - Restaurant,20.88,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST* DOS TOROS - CARMINE NEW YORK NY
BF-20250321-002,2025-03-21,Balthazar,Balthazar - Restaurant,152.07,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: BALTHAZAR RESTAURANT NEW YORK NY
BF-20250321-001,2025-03-21,DoorDash,DoorDash - Delivery,29.35,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH MIGHTYQUI 855-431-0459 CA
BF-20250322-001,2025-03-22,Lyft,Lyft - Rideshare,108.33,Travel,Rideshare,Chase,email_available,,,,from:no-reply@lyftmail.com,pending,medium,Business rideshare,Backfill: LYFT *MEMB ANNUAL HELP.LYFT.COM CA
BF-20250323-001,2025-03-23,Daeho,Daeho - Restaurant,67.40,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*DAEHO KALBIJJIM - SA San Mateo CA
BF-20250325-001,2025-03-25,Apple,Apple - Hardware,3175.78,Equipment,Hardware,Chase,email_available,,,,from:no_reply@email.apple.com subject:receipt,pending,high,Business hardware,Backfill: APPLE.COM/US 800-692-7753 CA
BF-20250325-002,2025-03-25,DoorDash,DoorDash - Delivery,105.56,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH ELSINALOE 855-431-0459 CA
BF-20250326-002,2025-03-26,Sushi,Sushi - Restaurant,315.78,Meals,Restaurant,Chase,pending,,,,,pending,high,Business restaurant,Backfill: SUSHI MARUYAMA SAN MATEO CA
BF-20250326-001,2025-03-26,San,San - Restaurant,31.97,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: SQ *SAN MATEO SOMISOMI San Mateo CA
BF-20250327-001,2025-03-27,DoorDash,DoorDash - Delivery,212.67,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,high,Business delivery,Backfill: DD *DOORDASH HUMMUSMED 855-431-0459 CA
BF-20250327-002,2025-03-27,Taishoken,Taishoken - Restaurant,128.33,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*TAISHOKEN RAMEN - SA San Mateo CA
BF-20250328-001,2025-03-28,Cellarmaker,Cellarmaker - Restaurant,63.77,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*CELLARMAKER HOUSE OF 415-296-6351 CA
BF-20250329-001,2025-03-29,DoorDash,DoorDash - Delivery,27.73,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH SAMWOOJUN 855-431-0459 CA
BF-20250331-001,2025-03-31,DoorDash,DoorDash - Delivery,22.49,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH WINSONBAK 855-431-0459 CA
BF-20250401-003,2025-04-01,Dante,Dante - Restaurant,163.67,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*DANTE - MACDOUGAL ST New York NY
BF-20250401-002,2025-04-01,Dough,Dough - Restaurant,53.34,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST* DOUGH ZONE - SAN MAT SAN MATEO CA
BF-20250401-001,2025-04-01,DoorDash,DoorDash - Delivery,24.12,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH BENVENUTO 855-431-0459 CA
BF-20250402-001,2025-04-02,Le,Le - Restaurant,23.86,Meals,Restaurant,Chase,found,195ff9085405f5aa,,,from:no_reply@email.apple.com subject:receipt,pending,medium,Business restaurant,Backfill: TST*LE VILLAGE 4F New York NY
BF-20250402-002,2025-04-02,Amazon,Amazon - Supplies,14.00,Equipment,Supplies,Amex,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: Amazon Web Services AWS.Amazon.com      WA
BF-20250403-002,2025-04-03,Stumptown,Stumptown - Restaurant,29.26,Meals,Restaurant,Chase,email_available,,,,from:messenger@messaging.squareup.com stumptown,pending,medium,Business restaurant,Backfill: SQ *STUMPTOWN COFFEE ROAS New York NY
